SHIP_ID,ITINERARY_ID,DURATION,CRUISE_AREA
150012,120483,7,Western Mediterranean
150012,121087,7,Western Mediterranean
150012,121095,7,Western Mediterranean
150012,164205,7,Western Mediterranean
150012,164215,7,Western Mediterranean
150012,71927,7,Caribbean & Central America
150012,71929,7,Caribbean & Central America
150012,71931,7,Caribbean & Central America
150012,71933,7,Caribbean & Central America
150012,71935,15,Caribbean & Central America
150012,71937,13,Caribbean & Central America
150012,72033,7,Western Mediterranean
150012,72035,7,Western Mediterranean
150012,164225,7,Western Mediterranean
150012,164235,7,Western Mediterranean
150012,104181,7,Caribbean & Central America
150012,104183,7,Caribbean & Central America
150012,104185,7,Caribbean & Central America
150012,104187,7,Caribbean & Central America
150012,104189,13,Caribbean & Central America
150012,104225,7,Caribbean & Central America
150012,104033,7,Western Mediterranean
150012,104035,7,Western Mediterranean
150012,101677,7,Western Mediterranean
150012,101685,7,Western Mediterranean
150012,165319,7,Western Mediterranean
150012,163747,7,Caribbean & Central America
150012,105819,7,Western Mediterranean
150012,105823,7,Western Mediterranean
150012,105829,7,Western Mediterranean
150012,105831,7,Western Mediterranean
150012,105833,7,Western Mediterranean
150012,105837,7,Western Mediterranean
150012,105843,7,Western Mediterranean
150012,105845,7,Western Mediterranean
150012,105847,7,Western Mediterranean
150012,105853,7,Western Mediterranean
150012,106095,7,Western Mediterranean
150012,106097,7,Western Mediterranean
150012,106099,7,Western Mediterranean
150012,106101,7,Western Mediterranean
150012,106103,7,Western Mediterranean
150012,106105,7,Western Mediterranean
150012,258209,7,Western Mediterranean
150012,258213,7,Western Mediterranean
150012,258221,7,Western Mediterranean
150012,258225,7,Western Mediterranean
150012,125255,7,Caribbean & Central America
150012,125761,13,Caribbean & Central America
150012,125779,7,Western Mediterranean
150012,125781,7,Western Mediterranean
150012,125791,7,Caribbean & Central America
150012,125793,7,Caribbean & Central America
150012,125795,7,Caribbean & Central America
150012,125797,7,Caribbean & Central America
150012,125799,7,Caribbean & Central America
150012,165577,7,Caribbean & Central America
150012,120903,15,Caribbean & Central America
150012,259179,7,Western Mediterranean
150012,259183,7,Western Mediterranean
150012,259187,7,Western Mediterranean
150012,259191,7,Western Mediterranean
150012,259199,7,Western Mediterranean
150012,259205,7,Western Mediterranean
150012,259207,7,Western Mediterranean
150012,259211,7,Western Mediterranean
150012,154747,7,Western Mediterranean
150012,257587,7,Western Mediterranean
150012,257591,7,Western Mediterranean
150012,257597,7,Western Mediterranean
150012,257601,7,Western Mediterranean
150012,257607,7,Western Mediterranean
150012,257611,7,Western Mediterranean
150012,124935,7,Caribbean & Central America
150012,257617,7,Western Mediterranean
150012,257621,7,Western Mediterranean
150012,124943,7,Caribbean & Central America
150012,124951,7,Caribbean & Central America
150012,267395,14,Western Mediterranean
150012,267397,12,Western Mediterranean
150012,267399,14,Scandinavia, the Baltic & UK
150012,267401,7,Scandinavia, the Baltic & UK
150012,267403,14,Scandinavia, the Baltic & UK
150012,267435,14,Scandinavia, the Baltic & UK
150012,267437,8,Scandinavia, the Baltic & UK
150012,267439,14,Scandinavia, the Baltic & UK
150012,267433,8,Scandinavia, the Baltic & UK
150012,267441,6,Western Mediterranean
150012,267443,3,Scandinavia, the Baltic & UK
150012,267467,7,Scandinavia, the Baltic & UK
150012,267469,13,Scandinavia, the Baltic & UK
150012,267471,14,Scandinavia, the Baltic & UK
150012,267473,14,Scandinavia, the Baltic & UK
150012,267475,7,Scandinavia, the Baltic & UK
150012,259431,7,Caribbean & Central America
150012,259435,7,Caribbean & Central America
150012,115407,7,Western Mediterranean
150012,165329,7,Western Mediterranean
150012,165339,7,Western Mediterranean
150012,165349,7,Western Mediterranean
150012,165367,7,Western Mediterranean
150012,165385,7,Western Mediterranean
150012,258185,7,Western Mediterranean
150012,258189,7,Western Mediterranean
150012,165397,7,Western Mediterranean
150012,258197,7,Western Mediterranean
150012,165409,7,Western Mediterranean
150012,258201,7,Western Mediterranean
150012,125067,7,Caribbean & Central America
150012,125071,7,Caribbean & Central America
150012,125099,7,Caribbean & Central America
150012,262469,7,Caribbean & Central America
150012,307951,7,Caribbean & Central America
150012,307955,7,Caribbean & Central America
150012,307959,7,Caribbean & Central America
150012,307963,7,Caribbean & Central America
150012,307967,15,Caribbean & Central America
150012,307971,13,Caribbean & Central America
150012,165001,7,Caribbean & Central America
150012,165011,7,Caribbean & Central America
150012,165021,7,Caribbean & Central America
150012,165031,7,Caribbean & Central America
150012,165041,15,Caribbean & Central America
150012,165051,13,Caribbean & Central America
150012,307373,7,Western Mediterranean
150012,307379,7,Western Mediterranean
150012,307385,7,Western Mediterranean
150012,300711,13,Caribbean & Central America
150012,190639,7,Caribbean & Central America
150012,190641,7,Caribbean & Central America
150012,190643,7,Caribbean & Central America
150012,190671,7,Caribbean & Central America
150012,190673,7,Caribbean & Central America
150012,190675,7,Caribbean & Central America
150012,190677,15,Caribbean & Central America
150012,190679,14,Caribbean & Central America
150012,209045,7,Caribbean & Central America
150012,259335,7,Western Mediterranean
150012,259337,7,Western Mediterranean
150012,259347,7,Western Mediterranean
150012,259351,7,Western Mediterranean
150012,301089,7,Western Mediterranean
150012,301093,7,Western Mediterranean
150012,301099,7,Western Mediterranean
150012,301107,7,Western Mediterranean
150012,165509,7,Caribbean & Central America
150012,165525,7,Caribbean & Central America
150012,327989,8,Arabia & the Red Sea
150012,327987,7,Arabia & the Red Sea
150012,327991,14,Arabia & the Red Sea
150012,307193,7,Caribbean & Central America
150012,307199,7,Caribbean & Central America
150012,307205,7,Caribbean & Central America
150012,307253,15,Caribbean & Central America
150012,307259,14,Caribbean & Central America
150012,258911,7,Caribbean & Central America
150012,258915,7,Caribbean & Central America
150012,258923,7,Caribbean & Central America
150012,258927,7,Caribbean & Central America
150012,258935,15,Caribbean & Central America
150012,258939,15,Caribbean & Central America
150012,258945,13,Caribbean & Central America
150012,258949,13,Caribbean & Central America
150012,299659,15,Caribbean & Central America
150012,299665,15,Caribbean & Central America
150012,299669,14,Caribbean & Central America
150012,299675,14,Caribbean & Central America
150012,258887,7,Caribbean & Central America
150012,258891,7,Caribbean & Central America
150012,258899,7,Caribbean & Central America
150012,258903,7,Caribbean & Central America
150012,259449,7,Caribbean & Central America
150012,259453,7,Caribbean & Central America
150012,259469,7,Caribbean & Central America
150012,259477,7,Caribbean & Central America
150012,259481,7,Caribbean & Central America
150012,259489,7,Caribbean & Central America
150012,259491,7,Caribbean & Central America
150012,259501,7,Caribbean & Central America
150012,259505,7,Caribbean & Central America
150012,259509,7,Caribbean & Central America
150012,259441,7,Caribbean & Central America
150012,259517,7,Caribbean & Central America
150012,259519,7,Caribbean & Central America
150012,259523,7,Caribbean & Central America
150012,388173,15,Caribbean & Central America
150012,388175,15,Caribbean & Central America
150012,388177,15,Caribbean & Central America
150012,388179,15,Caribbean & Central America
150012,388181,14,Caribbean & Central America
150012,388183,14,Caribbean & Central America
150012,388185,14,Caribbean & Central America
150012,388187,14,Caribbean & Central America
150012,299835,7,Western Mediterranean
150012,299839,7,Western Mediterranean
150012,299845,7,Western Mediterranean
150012,299849,7,Western Mediterranean
150012,299855,7,Western Mediterranean
150012,299859,7,Western Mediterranean
150012,299865,7,Western Mediterranean
150012,299869,7,Western Mediterranean
150012,300919,7,Western Mediterranean
150012,300921,7,Western Mediterranean
150012,300923,7,Western Mediterranean
150012,300929,7,Western Mediterranean
150012,300933,7,Western Mediterranean
150012,300935,7,Western Mediterranean
150012,300937,7,Western Mediterranean
150012,307607,14,Scandinavia, the Baltic & UK
150012,307613,7,Scandinavia, the Baltic & UK
150012,307619,13,Scandinavia, the Baltic & UK
150012,307625,14,Scandinavia, the Baltic & UK
150012,307631,14,Scandinavia, the Baltic & UK
150012,307637,7,Scandinavia, the Baltic & UK
150012,307643,14,Scandinavia, the Baltic & UK
150012,307649,8,Scandinavia, the Baltic & UK
150012,301021,7,Caribbean & Central America
150012,301025,7,Caribbean & Central America
150012,307655,14,Scandinavia, the Baltic & UK
150012,301029,7,Caribbean & Central America
150012,301033,7,Caribbean & Central America
150012,307661,8,Scandinavia, the Baltic & UK
150012,307667,14,Scandinavia, the Baltic & UK
150012,307671,12,Western Mediterranean
150012,301037,7,Caribbean & Central America
150012,301041,7,Caribbean & Central America
150012,388309,7,Western Mediterranean
