CABIN_TYPE_ID,SEQ,CAPTION,URL
78769,2,,https://media.thomson.co.uk/asset/v01/283/732.jpg
78769,3,,https://media.thomson.co.uk/asset/v01/283/730.jpg
78763,1,,https://media.thomson.co.uk/asset/v01/283/752.jpg
78763,2,,https://media.thomson.co.uk/asset/v01/283/722.jpg
78763,3,,https://media.thomson.co.uk/asset/v01/283/724.jpg
78721,1,,https://media.thomson.co.uk/asset/v01/208/758.jpg
78757,1,,https://media.thomson.co.uk/asset/v01/208/856.jpg
78736,1,,https://media.thomson.co.uk/asset/v01/208/750.jpg
78745,1,,https://media.thomson.co.uk/asset/v01/208/748.jpg
78748,1,,https://media.thomson.co.uk/asset/v01/283/744.jpg
78724,1,,https://media.thomson.co.uk/asset/v01/283/742.jpg
78727,1,,https://media.thomson.co.uk/asset/v01/283/738.jpg
78742,1,,https://media.thomson.co.uk/asset/v01/283/728.jpg
78733,1,,https://media.thomson.co.uk/asset/v01/283/726.jpg
234811,1,,https://media.thomson.co.uk/asset/v01/232/054.jpg
234811,2,,https://media.thomson.co.uk/asset/v01/232/062.jpg
234814,1,,https://media.thomson.co.uk/asset/v01/219/964.jpg
234814,2,,https://media.thomson.co.uk/asset/v01/208/862.jpg
234814,3,,https://media.thomson.co.uk/asset/v01/208/860.jpg
234817,1,,https://media.thomson.co.uk/asset/v01/219/958.jpg
234820,1,,https://media.thomson.co.uk/asset/v01/208/866.jpg
1471780,1,,https://media.thomson.co.uk/asset/v01/349/366.jpg
1471780,2,,https://media.thomson.co.uk/asset/v01/348/066.jpg
1471780,3,,https://media.thomson.co.uk/asset/v01/349/362.jpg
1471783,1,,https://media.thomson.co.uk/asset/v01/349/348.jpg
1471783,2,,https://media.thomson.co.uk/asset/v01/349/344.jpg
1471783,3,,https://media.thomson.co.uk/asset/v01/349/342.jpg
1471783,4,,https://media.thomson.co.uk/asset/v01/349/338.jpg
1471786,1,,https://media.thomson.co.uk/asset/v01/349/358.jpg
1471786,2,,https://media.thomson.co.uk/asset/v01/349/364.jpg
1471786,3,,https://media.thomson.co.uk/asset/v01/349/360.jpg
1471789,1,,https://media.thomson.co.uk/asset/v01/349/334.jpg
1471789,2,,https://media.thomson.co.uk/asset/v01/349/340.jpg
1471798,1,,https://media.thomson.co.uk/asset/v01/349/376.jpg
1471798,2,,https://media.thomson.co.uk/asset/v01/349/378.jpg
1471810,1,,https://media.thomson.co.uk/asset/v01/349/372.jpg
